rating,text
0,"Na słuchawkę czekałam spory czas a po zadzwonieniu okazało się ,że paczka im się zawieruszyła i w ten sam dzień mieli wysłać najszybszym kurierem i mimo to i tak czekałam znowu gdzie bardzo mi była potrzebna.  Do tego niby bateria trzyma długo gdzie tak nie jest i słuchawka się rozłącza . Dostałam ponownie wiadomość o tym ,że znowu dostanę te samą paczkę po wiadomości do nich ,że to pomyłka Pan odpisał mi,że nie bo to gratis no to się nastawiłam ,że gratis i ,że opłacona za to ,że tyle musiałam czekać .Tym razem przyjeżdża listonosz i mówi paczka do opłaty .Paczka poszła na pocztę i tam sobie leży ;) !  "
0,"Czajnik na pierwszy rzut oka wygląda ok, ale nie polecam!!! Woda pomimo ciągłego gotowania nieprzyjemnie pachnie, czajnik był wygotowywany wielokrotnie w kwasku cytrynowym, sodzie, occie i nic nie pomaga zniwelować nieprzyjemnego zapachu wody. Po tygodniu wygotowywania czajnika, bo woda z niego jest nie do picia zauważyłam, że cieknie gdzieś od spodu. W porównaniu z moim starym czajnikiem mam też wrażenie, że czas oczekiwania na zagotowaną wodę jest dłuższy. "
0,"Uchwyt wykonany z dość dobrego plastiku ale niestety to bez znaczenia ponieważ element na którym stoi telefon odkręca się od drugiej części. Przez co występują drgania podczas jazdy po nierównych drogach, a tych u nas nie brakuje. Ponadto same skrzydełka podtrzymujące boki telefonu są za płytkie. Jeśli ktoś ma pokrowiec na telefon to może zapomnieć o dobrym osadzeniu go, ponieważ będzie za grubo i telefon od razu lub po pewnym czasie jazdy po prostu wypadnie z uchwytu. Cena niestety i w tym przypadku mówi sama za siebie. "
0,"dlaczego jeden ? najnormalniej w świecie, jedzone tosty przechodzą metalicznym, bardzo charakterystycznym smrodem który jest wyczuwalny za równo w pomieszczeniu jak i w jedzeniu, ( co prawdopodobnie jest niezdrowe )  z tego właśnie powodu tosty u nas podajemy jedynie gościom, obserwujemy i monitorujemy ich stan zdrowotny, myślę że niedługo coś wyjdzie. "
0,"Pozytywne opinie na temat tego uchwytu zachęciły mnie do jego zakupu, niestety bardzo się rozczarowałam. Uchwyt wcale nie trzyma się kokpitu, już po chwili sam się odkleja. Próbowałam zamontować go kilka razy, niestety nie udało się. Być może do szyby się nada, ale jeśli ktoś chce ten uchwyt na kokpit to nie polecam, strata pieniędzy. "
0,"Telefon nie warty tych pieniędzy, krótko mówiąc badziew SMS wysyła jak ma dobry humor;) MMS-y wysyła i odbiera kiedy chce :) Transmisja danych się często zacina i trzeba go zresetować Bluetooth łaczy się na zasadzie uda się albo nie uda Skoro jest na dwie karty i ustawiam priorytety(połączenia, SMS) to życzyłbym sobie żeby to działąło - niestety lipa Jedyny plus to duża bateria nic pozatym"
0,"""Jakość tego produktu jest fatalna. Końcówka USB jest wadliwa i bardzo luźno siedzi w gniazdku, więc komputer przeważnie w ogóle nie widzi tego dysku, a każde potrącenie czy dotknięcie kabelka powoduje podłączenie/rozłączenie. Sama obudowa wygląda na bardzo kiepską i niesolidną. Dysk w środku """"lata"""", jak potrząśnie się nim lekko, słychać stukot. Nie zapisałabym na nim moich plików. Nie można zaufać temu produktowi... """
0,"Nokia 6310i Mercedes Benz. Badziew jaki mało. 1 - Obudowa jest z tandetnego plastiku, na pewno nie oryginalna ( używałem tego modelu przez wiele lat). Na bocznych czarnych paskach pofałdowana (ślady po wtryskarce). Źle spasowana, zaczepia się przy przejeżdżaniu opuszkiem palca – czarne wystaje ponad połówkę srebrną. Ramka na okienku wyświetlacza jest tak gruba, że zasłania część pierwszej litery lewego przycisku funkcyjnego. Z tyłu, krzywo przyklejona naklejka Nokia –odpadła po 3 dniach używania. 2 – Bateria. Przycisk baterii zacina się przez co otwieranie jest bardzo utrudnione, a pod spodem niespodzianka, bateria jest li-jon a nie polimerowa jak w oryginale. 3 – Gwarancja, wystawiona jest na IMEI z pudełka, i tu najlepsze, który nie zgadza się z numerem wyświetlanym po wpisaniu kodu do telefonu , a pod baterią znajdujemy.. trzeci IMEI. Co więcej kilka ze stron gdzie można sprawdzić IMEI nie rozpoznaje tego numeru. "
0,"Telefon okazal sie wielkim badziewiem, ale czego mozna spodziewac sie za ta cene, bede reklamowal, jednak nie wiem czy reklamacja zostanie uznana a zgloszona usterka ropatrzona jako normalne funkcjonowanie telefonu. do tej pory moj najgorszy telefon, aplikacje przestaja dzialac, trzeba je zamykac recznie, dziala wolniej niz moj poprzedni tel o 2 x gorszych parametrach sprzetowych, baaardzo dlugie ladowanie - cala noc, a trzymanie baterii losowe raz 3 dni a innym razem 1 dzien, przy takim samym uzytkowaniu. Najwiekszym jednak mankamentem jest internet, czyli po rozmowach najwazniejsza funcja. Swiadomie kupilem telefon bez LTE, ale wydaje sie jakby ten telefon nie mial nawet 3G, bardzo wolno laduje strony. Oczywiscie opis dzialania internetu dotyczy przypadku w ktorym internet dziala. Zarowno  przy uzyciu danych komorkowych jak i WiFI, Internet czesto po prostu przestaje dzialac !!! NIe pomaga wlaczanie/wylaczanie wifi i transmisji danych, telefon pozostaje w trybie offline. Skutkiem tego praktycznie za kazdym razem kiedy chce wyslac mms, odebrac maila, sprawdzic pogode, skorzystac z nawigacji itp itd MUSZE RESTARTOWAC URZADZENIE. Do tego wszystkiego dorzuce jeszcze niekompatybilny bluetooth z wbudowanym zestawem glosnomowiacym najnowszych Renault Master III, 5 telefonow w firmie laczy sie bez zadnych problemow. Szczerze ODRADZAM ZAKUPU!!!"
0,"Przestrzegam - i nie polecam. Kiepskiej jakości podróbka, niszczy i rysuje się bardzo szybko (w ciągu 3 dni była zmasakrowana, mimo bardzo delikatnego obchodzenia się z telefonem), plastik wręcz się kruszy, do tego jeśli już ktoś się skusi i kupi, to koniecznie trzeba nakleić folię ochronną na wyświetlacz - ten też potrafi porysować. Oczywiście nie działa, konieczne jest ściąganie dodatkowych aplikacji na telefon, które i tak nie spełniają w 100% swojej funkcji. Żałuję zakupu, uciążliwe użytkowanie, wyrzucone pieniądze - po 2 tygodniach kupiłam oryginał. "
